,Unnamed: 0,id,track_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
71,71,6QgjcU0zLnzq5OrUoSZ3O,feel it still,Portugal. The Man,0.8009999999999999,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
72,72,77UjLW8j5UAGAGVGhR5oU,pray for me,The Weeknd,0.735,0.677,2,-4.979,1,0.09300000000000001,0.0762,2.17e-05,0.111,0.188,100.584,211440,4
73,73,6n4U3TlzUGhdSFbUUhTvL,walk it talk it,Migos,0.909,0.628,2,-5.456,1,0.201,0.0739,0.0,0.10800000000000001,0.406,145.905,276147,4
74,74,5k38wzpLb15YgncyWdTZE,him & i,G-Eazy,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.90799999999999,268867,4
75,75,32lItqlMi4LBhb4k0BaSa,candy paint,Post Malone,0.67,0.654,4,-5.944,1,0.153,0.627,1.02e-06,0.071,0.43799999999999994,180.024,227533,4
76,76,3a1lNhkSLSkpJE4MSHpDu,congratulations,Post Malone,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.49200000000000005,123.146,220293,4
77,77,4QtiVmuA88tPQiCOHZuQ5,"1, 2, 2003",Sofia Reyes,0.792,0.895,1,-3.112,0,0.0589,0.165,0.0,0.0501,0.794,94.96799999999999,201526,4
78,78,6Za3190Sbw39BBC77WSS1,criminal,Natti Natasha,0.8140000000000001,0.813,2,-3.023,0,0.0561,0.03,9.329999999999999e-05,0.255,0.8390000000000001,79.997,232550,4
79,79,1ZAyjvIk9YiD76yYy0TEG,plug walk,Rich The Kid,0.8759999999999999,0.519,11,-6.531000000000001,1,0.14300000000000002,0.20199999999999999,0.0,0.10800000000000001,0.158,94.98100000000001,175230,4
80,80,0u2P5u6lvoDfwTYjAADbn,lovely,Billie Eilish,0.35100000000000003,0.29600000000000004,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.28399999999999,200186,4
81,81,2UVbBKQOdFAekPTRsnkzc,stir fry,Migos,0.815,0.816,2,-5.474,1,0.26899999999999996,0.00299,0.0,0.159,0.498,181.967,190288,4
82,82,7KXjTSCq5nL1LoYtL7XAw,humble.,Kendrick Lamar,0.9079999999999999,0.621,1,-6.638,0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,177000,4
83,83,48zFZh27QU5qsrBjn4C2F,vaina loca,Ozuna,0.754,0.805,6,-4.249,1,0.0752,0.315,0.0,0.203,0.555,93.98299999999999,176133,4
84,84,1bhUWB0zJMIKr9yVPrkEu,perfect duet,Ed Sheeran,0.5870000000000001,0.299,8,-7.365,1,0.0263,0.779,0.0,0.12300000000000001,0.35600000000000004,94.992,259550,3
85,85,5cepAtqnEQ6yVG6088zMM,coraz?n,Maluma,0.722,0.738,9,-6.0729999999999995,0,0.247,0.32799999999999996,1.47e-05,0.198,0.748,198.075,184720,4
86,86,5Z3GHaZ6ec9bsiI5Benrb,young dumb & broke,Khalid,0.7979999999999999,0.539,1,-6.351,1,0.0421,0.19899999999999998,1.66e-05,0.165,0.39399999999999996,136.94899999999998,202547,4
87,87,5Y9fnynLlIvqtM710MHzf,s?guelo bailando,Ozuna,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800,4
88,88,3Ga6eKrUFf12ouh9Yw3v2,downtown,Anitta,0.775,0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.00799999999998,193456,4
89,89,3xcCix7Jv1Rp90YVmgo35,bella,Wolfine,0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.8440000000000001,94.016,197120,4
90,90,5N5k9nd479b1xpDZ4usjr,promises,Calvin Harris,0.7809999999999999,0.768,11,-5.9910000000000005,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4
91,91,6vN77lE9LK6HP2DewaN6H,yes indeed,Lil Baby,0.9640000000000001,0.34600000000000003,5,-9.309,0,0.53,0.035,0.0,0.10800000000000001,0.562,119.958,142273,4
92,92,2P91MQbaiQOfbiz9VqhqK,i like me better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,197437,4
93,93,2xGjteMU3E1tkEPVFBO08,this is me,Keala Settle,0.284,0.7040000000000001,2,-7.276,1,0.18600000000000003,0.00583,0.00011499999999999999,0.0424,0.1,191.702,234707,4
94,94,3GVkPk8mqxz0itaAriG1L,everybody dies in their nightmares,XXXTENTACION,0.7340000000000001,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,95467,4
95,95,630sXRhIcfwr2e4RdNtjK,rewrite the stars,Zac Efron,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440,4
96,96,2xmrfQpmS2iJExTlklLoA,i miss you,Clean Bandit,0.638,0.6579999999999999,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.07600000000001,205748,4
97,97,5WvAo7DNuPRmk4APhdPzi,no brainer,DJ Khaled,0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,260000,5
98,98,1j4kHkkpqZRBwE0A4CN4Y,dusk till dawn - radio edit,ZAYN,0.258,0.43700000000000006,11,-6.593,0,0.039,0.10099999999999999,1.27e-06,0.106,0.0967,180.043,239000,4
99,99,3EPXxR3ImUwfayaurPi3c,be alright,Dean Lewis,0.5529999999999999,0.586,11,-6.319,1,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,196373,4
